Code,Gender,Customer Type,Age,State,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Seat comfort,Inflight entertainment,Baggage handling,Checkin service,Inflight service,Cleanliness,satisfaction,Delay
WX02553023,Male,Loyal Customer,13.0,NJ,Personal Travel,Eco Plus,460.0,25.0,18.0,0.0,4.0,3.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,neutral or dissatisfied,Yes
QS99844747,Male,Disloyal Customer,25.0,GA,Business travel,Business,235.0,1.0,6.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,neutral or dissatisfied,No
OL00432935,Female,Loyal Customer,26.0,NJ,Business travel,Business,1142.0,0.0,0.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,satisfied,No
CM55347278,Female,Loyal Customer,25.0,NJ,Business travel,Business,562.0,11.0,9.0,0.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,neutral or dissatisfied,No
TZ46480191,Male,Loyal Customer,61.0,NJ,Business travel,Business,214.0,0.0,0.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,satisfied,No
CD24961940,Female,Loyal Customer,49.0,NJ,Personal Travel,Eco,577.0,23.0,2.0,0.0,5.0,2.0,0.0,5.0,1.0,1.0,0.0,1.0,5.0,neutral or dissatisfied,Yes
WG85023638,Female,Loyal Customer,26.0,NJ,Personal Travel,Eco,1180.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,neutral or dissatisfied,No
CS15349553,Male,Loyal Customer,47.0,NJ,Personal Travel,Eco,1276.0,9.0,23.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,5.0,2.0,neutral or dissatisfied,No
IX94937318,Female,Loyal Customer,52.0,NJ,Business travel,Business,2035.0,4.0,0.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,satisfied,No
HI93389362,Female,Loyal Customer,41.0,NJ,Business travel,Business,853.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,neutral or dissatisfied,No
TM51865878,Male,Disloyal Customer,20.0,NJ,Business travel,Eco,1061.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,neutral or dissatisfied,No
RH39935810,Female,Disloyal Customer,24.0,VA,Business travel,Eco,1182.0,0.0,0.0,1.0,5.0,5.0,2.0,2.0,2.0,1.0,0.0,5.0,2.0,neutral or dissatisfied,No
