Code,Gender,Customer Type,Age,State,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes
WX02553023,Male,Loyal Customer,13.0,,Personal Travel,Eco Plus,460.0,25.0,18.0
QS99844747,Male,Disloyal Customer,25.0,GA,Business travel,Business,235.0,1.0,6.0
OL00432935,Female,Loyal Customer,26.0,,Business travel,Business,1142.0,0.0,0.0
CM55347278,Female,Loyal Customer,25.0,,Business travel,Business,562.0,11.0,9.0
TZ46480191,Male,Loyal Customer,61.0,,Business travel,Business,214.0,0.0,0.0
CD24961940,Female,Loyal Customer,49.0,,Personal Travel,Eco,577.0,23.0,2.0
WG85023638,Female,Loyal Customer,26.0,,Personal Travel,Eco,1180.0,0.0,0.0
CS15349553,Male,Loyal Customer,47.0,,Personal Travel,Eco,1276.0,9.0,23.0
IX94937318,Female,Loyal Customer,52.0,,Business travel,Business,2035.0,4.0,0.0
HI93389362,Female,Loyal Customer,41.0,,Business travel,Business,853.0,0.0,0.0
TM51865878,Male,Disloyal Customer,20.0,,Business travel,Eco,1061.0,0.0,0.0
RH39935810,Female,Disloyal Customer,24.0,VA,Business travel,Eco,1182.0,0.0,0.0
SC38759946,Female,Loyal Customer,12.0,,Personal Travel,Eco Plus,308.0,0.0,0.0
JN42885112,Male,Loyal Customer,53.0,,Business travel,Eco,834.0,28.0,8.0
RX25535201,Male,Loyal Customer,33.0,MO,Personal Travel,Eco,946.0,0.0,0.0
MS27111818,Female,Loyal Customer,26.0,,Personal Travel,Eco,453.0,43.0,35.0
TM98090585,Male,Disloyal Customer,13.0,CT,Business travel,Eco,486.0,1.0,0.0
LN32495921,Female,Loyal Customer,26.0,UT,Business travel,Business,2123.0,49.0,51.0
TG00760132,Male,Loyal Customer,41.0,,Business travel,Business,2075.0,0.0,10.0
DV25875314,Female,Loyal Customer,45.0,,Business travel,Business,2486.0,7.0,5.0
MY26067427,Male,Loyal Customer,38.0,,Personal Travel,Eco,460.0,17.0,18.0
QH99609545,Male,Loyal Customer,9.0,,Business travel,Eco,1174.0,0.0,4.0
